ActivityType	DateTime	TransDateTime	Symbol	OrderActionSource	InternalOrderID	ServiceOrderID	OrderType	Quantity	BuySell	Price	Price2	OrderStatus	FillPrice	FilledQuantity	TradeAccount	OpenClose	ParentInternalOrderID	PositionQuantity	FillExecutionServiceID	HighDuringPosition	LowDuringPosition	Note	AccountBalance	ExchangeOrderID	ClientOrderID	TimeInForce	Username	IsAutomated
Orders	2026-07-22  13:59:15.640593	2026-07-22  13:59:15.640592	[Sim]NQU26_FUT_CME	Simulated order modify complete	3492	3492	Stop	1	Sell	2921225.0000000		Open			Sim1 [EVAL]	Close	3490	1				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-22  14:00:50.614839	2026-07-22  14:00:50.614833	[Sim]NQU26_FUT_CME	#1 NQU26_FUT_CME[M]  1 Min  | User order modification. Requested Price: 29229.50. Requested Quantity: 1	3492	3492	Stop	1	Sell	2921225.0000000		Pending Modify			Sim1 [EVAL]	Close	3490	1				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-22  14:00:50.614872	2026-07-22  14:00:50.614870	[Sim]NQU26_FUT_CME	Simulated order modify complete	3492	3492	Stop	1	Sell	2922950.0000000		Open			Sim1 [EVAL]	Close	3490	1				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-22  14:02:10.218031	2026-07-22  14:02:10.218029	[Sim]NQU26_FUT_CME	Initiating: #1 NQU26_FUT_CME[M]  1 Min  | Canceling non-market orders during Flatten	3491	3491	Limit	1	Sell	2936850.0000000		Open			Sim1 [EVAL]	Close	3490					SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-22  14:02:10.218076	2026-07-22  14:02:10.218070	[Sim]NQU26_FUT_CME	#1 NQU26_FUT_CME[M]  1 Min  | Canceling non-market orders during Flatten	3491	3491	Limit	1	Sell	2936850.0000000		Pending Cancel			Sim1 [EVAL]	Close	3490	1				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-22  14:02:10.218097	2026-07-22  14:02:10.218095	[Sim]NQU26_FUT_CME	Simulated order canceled	3491	3491	Limit	1	Sell	2936850.0000000		Canceled			Sim1 [EVAL]	Close	3490	1				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-22  14:02:10.218106	2026-07-22  14:02:10.218105	[Sim]NQU26_FUT_CME	#1 NQU26_FUT_CME[M]  1 Min  | Canceling non-market orders during Flatten	3492	3492	Stop	1	Sell	2922950.0000000		Pending Cancel			Sim1 [EVAL]	Close	3490	1				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-22  14:02:10.218114	2026-07-22  14:02:10.218112	[Sim]NQU26_FUT_CME	Simulated order canceled	3492	3492	Stop	1	Sell	2922950.0000000		Canceled			Sim1 [EVAL]	Close	3490	1				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-22  14:02:10.218133	2026-07-22  14:02:10.218125	[Sim]NQU26_FUT_CME	#1 NQU26_FUT_CME[M]  1 Min  | User order entry. Flatten&CancelAllOrders | Last: 29260.25. Current Position quantity: 1 | AOE=true | AOU=true	3493		Market	1	Sell			Order Sent			Sim1 [EVAL]	Close		1				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-22  14:02:10.218146	2026-07-22  14:02:10.218145	[Sim]NQU26_FUT_CME	Simulated order accepted	3493	3493	Market	1	Sell			Open			Sim1 [EVAL]	Close		1				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-22  14:02:10.218172	2026-07-22  14:02:10.218170	[Sim]NQU26_FUT_CME	Trade simulation fill. Bid: 29260.75 Ask: 29261.50 Last: 29260.25	3493	3493	Market	1	Sell			Filled	2926075.0000000	1	Sim1 [EVAL]	Close		1				SwissPropFirm.twconfig	0.00			Day		N
Fills	2026-07-22  14:02:10.218177	2026-07-22  14:02:10.218168	[Sim]NQU26_FUT_CME	Trade simulation fill. Bid: 29260.75 Ask: 29261.50 Last: 29260.25	3493	3493	Market	1	Sell			Filled	2926075.0000000	1	Sim1 [EVAL]	Close			3493.1	2928050.0000000	2923850.0000000	SwissPropFirm.twconfig	0.00			Day		N
